cnt_date,feature,hitcount
2021-12-15,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-16,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-17,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-18,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-19,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-20,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-21,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-22,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-23,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-24,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-25,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-26,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-27,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-28,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-29,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-30,WLS_WATER_RESTRICTION_LOC_SVW,0
2021-12-31,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-01,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-02,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-03,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-04,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-05,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-06,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-07,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-08,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-09,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-10,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-11,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-12,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-13,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-14,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-15,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-16,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-17,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-18,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-19,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-20,WLS_WATER_RESTRICTION_LOC_SVW,0
2022-01-21,WLS_WATER_RESTRICTION_LOC_SVW,0
