cnt_date,feature,hitcount
2021-11-05,WLS_WATER_LICENCED_WRK_LINE_SP,139548
2021-11-06,WLS_WATER_LICENCED_WRK_LINE_SP,139548
2021-11-07,WLS_WATER_LICENCED_WRK_LINE_SP,139630
2021-11-08,WLS_WATER_LICENCED_WRK_LINE_SP,139630
2021-11-09,WLS_WATER_LICENCED_WRK_LINE_SP,139630
2021-11-10,WLS_WATER_LICENCED_WRK_LINE_SP,139630
2021-11-11,WLS_WATER_LICENCED_WRK_LINE_SP,139630
2021-11-12,WLS_WATER_LICENCED_WRK_LINE_SP,139630
2021-11-13,WLS_WATER_LICENCED_WRK_LINE_SP,139630
2021-11-14,WLS_WATER_LICENCED_WRK_LINE_SP,139630
2021-11-15,WLS_WATER_LICENCED_WRK_LINE_SP,139647
2021-11-16,WLS_WATER_LICENCED_WRK_LINE_SP,139647
2021-11-17,WLS_WATER_LICENCED_WRK_LINE_SP,139647
2021-11-19,WLS_WATER_LICENCED_WRK_LINE_SP,139647
2021-11-20,WLS_WATER_LICENCED_WRK_LINE_SP,139647
2021-11-21,WLS_WATER_LICENCED_WRK_LINE_SP,139647
2021-11-22,WLS_WATER_LICENCED_WRK_LINE_SP,139647
2021-11-23,WLS_WATER_LICENCED_WRK_LINE_SP,139647
2021-11-24,WLS_WATER_LICENCED_WRK_LINE_SP,139647
2021-11-25,WLS_WATER_LICENCED_WRK_LINE_SP,139743
2021-11-26,WLS_WATER_LICENCED_WRK_LINE_SP,139743
2021-11-27,WLS_WATER_LICENCED_WRK_LINE_SP,139743
2021-11-28,WLS_WATER_LICENCED_WRK_LINE_SP,139743
2021-11-29,WLS_WATER_LICENCED_WRK_LINE_SP,139743
2021-11-30,WLS_WATER_LICENCED_WRK_LINE_SP,139796
2021-12-01,WLS_WATER_LICENCED_WRK_LINE_SP,139797
2021-12-02,WLS_WATER_LICENCED_WRK_LINE_SP,139797
2021-12-03,WLS_WATER_LICENCED_WRK_LINE_SP,139810
2021-12-04,WLS_WATER_LICENCED_WRK_LINE_SP,139811
2021-12-05,WLS_WATER_LICENCED_WRK_LINE_SP,139811
2021-12-06,WLS_WATER_LICENCED_WRK_LINE_SP,139811
2021-12-07,WLS_WATER_LICENCED_WRK_LINE_SP,139811
