cnt_date,feature,hitcount
2021-11-05,WLS_WATER_LICENCED_WRK_LOC_SP,51186
2021-11-06,WLS_WATER_LICENCED_WRK_LOC_SP,51186
2021-11-07,WLS_WATER_LICENCED_WRK_LOC_SP,51226
2021-11-08,WLS_WATER_LICENCED_WRK_LOC_SP,51226
2021-11-09,WLS_WATER_LICENCED_WRK_LOC_SP,51226
2021-11-10,WLS_WATER_LICENCED_WRK_LOC_SP,51226
2021-11-11,WLS_WATER_LICENCED_WRK_LOC_SP,51226
2021-11-12,WLS_WATER_LICENCED_WRK_LOC_SP,51226
2021-11-13,WLS_WATER_LICENCED_WRK_LOC_SP,51226
2021-11-14,WLS_WATER_LICENCED_WRK_LOC_SP,51226
2021-11-15,WLS_WATER_LICENCED_WRK_LOC_SP,51257
2021-11-16,WLS_WATER_LICENCED_WRK_LOC_SP,51257
2021-11-17,WLS_WATER_LICENCED_WRK_LOC_SP,51257
2021-11-19,WLS_WATER_LICENCED_WRK_LOC_SP,51257
2021-11-20,WLS_WATER_LICENCED_WRK_LOC_SP,51257
2021-11-21,WLS_WATER_LICENCED_WRK_LOC_SP,51257
2021-11-22,WLS_WATER_LICENCED_WRK_LOC_SP,51257
2021-11-23,WLS_WATER_LICENCED_WRK_LOC_SP,51257
2021-11-24,WLS_WATER_LICENCED_WRK_LOC_SP,51257
2021-11-25,WLS_WATER_LICENCED_WRK_LOC_SP,51292
2021-11-26,WLS_WATER_LICENCED_WRK_LOC_SP,51292
2021-11-27,WLS_WATER_LICENCED_WRK_LOC_SP,51292
2021-11-28,WLS_WATER_LICENCED_WRK_LOC_SP,51292
2021-11-29,WLS_WATER_LICENCED_WRK_LOC_SP,51292
2021-11-30,WLS_WATER_LICENCED_WRK_LOC_SP,51329
2021-12-01,WLS_WATER_LICENCED_WRK_LOC_SP,51338
2021-12-02,WLS_WATER_LICENCED_WRK_LOC_SP,51338
2021-12-03,WLS_WATER_LICENCED_WRK_LOC_SP,51355
2021-12-04,WLS_WATER_LICENCED_WRK_LOC_SP,51362
2021-12-05,WLS_WATER_LICENCED_WRK_LOC_SP,51362
2021-12-06,WLS_WATER_LICENCED_WRK_LOC_SP,51362
2021-12-07,WLS_WATER_LICENCED_WRK_LOC_SP,51362
2021-12-08,WLS_WATER_LICENCED_WRK_LOC_SP,51361
2021-12-09,WLS_WATER_LICENCED_WRK_LOC_SP,51361
2021-12-10,WLS_WATER_LICENCED_WRK_LOC_SP,51361
2021-12-11,WLS_WATER_LICENCED_WRK_LOC_SP,51361
2021-12-12,WLS_WATER_LICENCED_WRK_LOC_SP,51361
2021-12-13,WLS_WATER_LICENCED_WRK_LOC_SP,51361
2021-12-14,WLS_WATER_LICENCED_WRK_LOC_SP,51364
2021-12-15,WLS_WATER_LICENCED_WRK_LOC_SP,51364
2021-12-16,WLS_WATER_LICENCED_WRK_LOC_SP,51365
2021-12-17,WLS_WATER_LICENCED_WRK_LOC_SP,51367
2021-12-18,WLS_WATER_LICENCED_WRK_LOC_SP,51367
2021-12-19,WLS_WATER_LICENCED_WRK_LOC_SP,51367
2021-12-20,WLS_WATER_LICENCED_WRK_LOC_SP,51367
2021-12-21,WLS_WATER_LICENCED_WRK_LOC_SP,51367
2021-12-22,WLS_WATER_LICENCED_WRK_LOC_SP,51368
2021-12-23,WLS_WATER_LICENCED_WRK_LOC_SP,51368
2021-12-24,WLS_WATER_LICENCED_WRK_LOC_SP,51368
2021-12-25,WLS_WATER_LICENCED_WRK_LOC_SP,51370
2021-12-26,WLS_WATER_LICENCED_WRK_LOC_SP,51370
2021-12-27,WLS_WATER_LICENCED_WRK_LOC_SP,51373
2021-12-28,WLS_WATER_LICENCED_WRK_LOC_SP,51373
2021-12-29,WLS_WATER_LICENCED_WRK_LOC_SP,51373
2021-12-30,WLS_WATER_LICENCED_WRK_LOC_SP,51373
2021-12-31,WLS_WATER_LICENCED_WRK_LOC_SP,51375
2022-01-01,WLS_WATER_LICENCED_WRK_LOC_SP,51375
2022-01-02,WLS_WATER_LICENCED_WRK_LOC_SP,51375
2022-01-03,WLS_WATER_LICENCED_WRK_LOC_SP,51375
2022-01-04,WLS_WATER_LICENCED_WRK_LOC_SP,51375
2022-01-05,WLS_WATER_LICENCED_WRK_LOC_SP,51375
2022-01-06,WLS_WATER_LICENCED_WRK_LOC_SP,51375
2022-01-07,WLS_WATER_LICENCED_WRK_LOC_SP,51375
2022-01-08,WLS_WATER_LICENCED_WRK_LOC_SP,51390
2022-01-09,WLS_WATER_LICENCED_WRK_LOC_SP,51390
2022-01-10,WLS_WATER_LICENCED_WRK_LOC_SP,51390
2022-01-11,WLS_WATER_LICENCED_WRK_LOC_SP,51392
2022-01-12,WLS_WATER_LICENCED_WRK_LOC_SP,51396
2022-01-13,WLS_WATER_LICENCED_WRK_LOC_SP,51396
2022-01-14,WLS_WATER_LICENCED_WRK_LOC_SP,51397
2022-01-15,WLS_WATER_LICENCED_WRK_LOC_SP,51397
2022-01-16,WLS_WATER_LICENCED_WRK_LOC_SP,51397
2022-01-17,WLS_WATER_LICENCED_WRK_LOC_SP,51397
2022-01-18,WLS_WATER_LICENCED_WRK_LOC_SP,51397
2022-01-19,WLS_WATER_LICENCED_WRK_LOC_SP,51397
2022-01-20,WLS_WATER_LICENCED_WRK_LOC_SP,51399
2022-01-21,WLS_WATER_LICENCED_WRK_LOC_SP,51400
2022-01-22,WLS_WATER_LICENCED_WRK_LOC_SP,51400
2022-01-23,WLS_WATER_LICENCED_WRK_LOC_SP,51400
2022-01-24,WLS_WATER_LICENCED_WRK_LOC_SP,51400
2022-01-25,WLS_WATER_LICENCED_WRK_LOC_SP,51403
2022-01-26,WLS_WATER_LICENCED_WRK_LOC_SP,51409
2022-01-27,WLS_WATER_LICENCED_WRK_LOC_SP,51413
2022-01-28,WLS_WATER_LICENCED_WRK_LOC_SP,51414
2022-01-29,WLS_WATER_LICENCED_WRK_LOC_SP,51414
2022-01-30,WLS_WATER_LICENCED_WRK_LOC_SP,51414
2022-01-31,WLS_WATER_LICENCED_WRK_LOC_SP,51414
2022-02-01,WLS_WATER_LICENCED_WRK_LOC_SP,51414
2022-02-02,WLS_WATER_LICENCED_WRK_LOC_SP,51414
2022-02-03,WLS_WATER_LICENCED_WRK_LOC_SP,51415
2022-02-04,WLS_WATER_LICENCED_WRK_LOC_SP,51415
2022-02-05,WLS_WATER_LICENCED_WRK_LOC_SP,51415
2022-02-06,WLS_WATER_LICENCED_WRK_LOC_SP,51415
2022-02-07,WLS_WATER_LICENCED_WRK_LOC_SP,51415
2022-02-08,WLS_WATER_LICENCED_WRK_LOC_SP,51415
2022-02-09,WLS_WATER_LICENCED_WRK_LOC_SP,51451
2022-02-10,WLS_WATER_LICENCED_WRK_LOC_SP,51460
2022-02-11,WLS_WATER_LICENCED_WRK_LOC_SP,51464
2022-02-12,WLS_WATER_LICENCED_WRK_LOC_SP,51466
2022-02-13,WLS_WATER_LICENCED_WRK_LOC_SP,51466
2022-02-14,WLS_WATER_LICENCED_WRK_LOC_SP,51466
2022-02-15,WLS_WATER_LICENCED_WRK_LOC_SP,51466
2022-02-16,WLS_WATER_LICENCED_WRK_LOC_SP,51475
2022-02-17,WLS_WATER_LICENCED_WRK_LOC_SP,51477
2022-02-18,WLS_WATER_LICENCED_WRK_LOC_SP,51478
2022-02-19,WLS_WATER_LICENCED_WRK_LOC_SP,51487
2022-02-20,WLS_WATER_LICENCED_WRK_LOC_SP,51487
2022-02-21,WLS_WATER_LICENCED_WRK_LOC_SP,51487
2022-02-22,WLS_WATER_LICENCED_WRK_LOC_SP,51487
2022-02-23,WLS_WATER_LICENCED_WRK_LOC_SP,51498
2022-02-24,WLS_WATER_LICENCED_WRK_LOC_SP,51514
2022-02-25,WLS_WATER_LICENCED_WRK_LOC_SP,51516
2022-02-26,WLS_WATER_LICENCED_WRK_LOC_SP,51524
2022-02-28,WLS_WATER_LICENCED_WRK_LOC_SP,51524
2022-03-01,WLS_WATER_LICENCED_WRK_LOC_SP,51524
2022-03-02,WLS_WATER_LICENCED_WRK_LOC_SP,51526
2022-03-03,WLS_WATER_LICENCED_WRK_LOC_SP,51527
2022-03-04,WLS_WATER_LICENCED_WRK_LOC_SP,51533
2022-03-05,WLS_WATER_LICENCED_WRK_LOC_SP,51533
2022-03-06,WLS_WATER_LICENCED_WRK_LOC_SP,51533
2022-03-07,WLS_WATER_LICENCED_WRK_LOC_SP,51533
2022-03-08,WLS_WATER_LICENCED_WRK_LOC_SP,51533
2022-03-09,WLS_WATER_LICENCED_WRK_LOC_SP,51533
2022-03-10,WLS_WATER_LICENCED_WRK_LOC_SP,51549
2022-03-11,WLS_WATER_LICENCED_WRK_LOC_SP,51548
2022-03-12,WLS_WATER_LICENCED_WRK_LOC_SP,51549
2022-03-13,WLS_WATER_LICENCED_WRK_LOC_SP,51549
2022-03-14,WLS_WATER_LICENCED_WRK_LOC_SP,51549
2022-03-15,WLS_WATER_LICENCED_WRK_LOC_SP,51549
2022-03-16,WLS_WATER_LICENCED_WRK_LOC_SP,51549
2022-03-18,WLS_WATER_LICENCED_WRK_LOC_SP,51549
2022-03-19,WLS_WATER_LICENCED_WRK_LOC_SP,51549
2022-03-20,WLS_WATER_LICENCED_WRK_LOC_SP,51549
2022-03-21,WLS_WATER_LICENCED_WRK_LOC_SP,51558
2022-03-22,WLS_WATER_LICENCED_WRK_LOC_SP,51558
2022-03-23,WLS_WATER_LICENCED_WRK_LOC_SP,51558
2022-03-24,WLS_WATER_LICENCED_WRK_LOC_SP,51579
2022-03-25,WLS_WATER_LICENCED_WRK_LOC_SP,51587
2022-03-26,WLS_WATER_LICENCED_WRK_LOC_SP,51591
2022-03-27,WLS_WATER_LICENCED_WRK_LOC_SP,51591
2022-03-28,WLS_WATER_LICENCED_WRK_LOC_SP,51591
2022-03-29,WLS_WATER_LICENCED_WRK_LOC_SP,51594
2022-03-30,WLS_WATER_LICENCED_WRK_LOC_SP,51594
2022-03-31,WLS_WATER_LICENCED_WRK_LOC_SP,51612
2022-04-02,WLS_WATER_LICENCED_WRK_LOC_SP,51615
2022-04-03,WLS_WATER_LICENCED_WRK_LOC_SP,51615
2022-04-04,WLS_WATER_LICENCED_WRK_LOC_SP,51615
2022-04-05,WLS_WATER_LICENCED_WRK_LOC_SP,51615
2022-04-06,WLS_WATER_LICENCED_WRK_LOC_SP,51619
2022-04-07,WLS_WATER_LICENCED_WRK_LOC_SP,51619
